Postcode	Description	Grid Reference	X (easting)	Y (northing)	Latitude	Longitude
S8 7BW	S8 7BW	SK 33951 81180	433951	381180	53.326456	-1.4917239
S8 7DN	S8 7DN	SK 33664 81089	433664	381089	53.325656	-1.4960423
S8 7DT	S8 7DT	SK 33855 81465	433855	381465	53.329024	-1.4931348
S8 7HN	S8 7HN	SK 34335 80504	434335	380504	53.320355	-1.4860318
S8 7TQ	S8 7TQ	SK 34753 81699	434753	381699	53.331069	-1.4796265
S8 8HD	S8 8HD	SK 36032 82102	436032	382102	53.334606	-1.4603769
S8 8LJ	S8 8LJ	SK 35572 82731	435572	382731	53.340291	-1.4672138
S8 8PL	S8 8PL	SK 35671 83108	435671	383108	53.343673	-1.4656847
S8 8SE	S8 8SE	SK 35196 83336	435196	383336	53.345754	-1.4727936
S8 9HQ	S8 9HQ	SK 35524 84089	435524	384089	53.3525	-1.4677828
S8 9JH	S8 9JH	SK 35746 84088	435746	384088	53.352476	-1.4644479
S8 9QB	S8 9QB	SK 35448 84409	435448	384409	53.355381	-1.4688888
S8 9QD	S8 9QD	SK 35655 84453	435655	384453	53.355763	-1.465774
S8 9QW	S8 9QW	SK 35104 84744	435104	384744	53.358415	-1.4740198
S8 9SD	S8 9SD	SK 35764 84663	435764	384663	53.357643	-1.4641127
S9 1AP	S9 1AP	SK 38175 90975	438175	390975	53.414208	-1.4271289
S9 1EB	S9 1EB	SK 37918 90649	437918	390649	53.411296	-1.4310343
S9 1SG	S9 1SG	SK 40110 90927	440110	390927	53.413634	-1.3980249
S9 1UG	S9 1UG	SK 39980 90965	439980	390965	53.413985	-1.3999758
S9 3DH	S9 3DH	SK 38759 87920	438759	387920	53.386707	-1.4187174
S9 5GD	S9 5GD	SK 39212 88560	439212	388560	53.392426	-1.4118276
